DTUTC,VINT,TEMPC
07-Jan-2015 15:42:02,-0.256583,21.926
07-Jan-2015 15:45:00,-0.256607,21.933
07-Jan-2015 16:00:01,-0.256606,22.012
07-Jan-2015 16:15:01,-0.256433,22.011
07-Jan-2015 16:30:01,-0.252734,20.983
07-Jan-2015 16:45:01,-0.245395,20.349
07-Jan-2015 17:00:01,-0.244324,19.377
07-Jan-2015 17:15:01,0.064266,16.616
07-Jan-2015 17:30:01,0.064691,16.264
07-Jan-2015 17:45:01,0.081774,16.193
07-Jan-2015 18:00:01,0.064935,15.965
07-Jan-2015 18:15:01,0.064824,15.923
07-Jan-2015 18:30:01,0.064893,15.875
07-Jan-2015 18:45:01,0.064988,15.853
07-Jan-2015 19:00:01,0.064997,15.847
07-Jan-2015 19:15:01,0.065053,15.845
07-Jan-2015 19:30:00,0.06488,15.804
07-Jan-2015 19:45:01,0.064983,15.817
07-Jan-2015 20:00:01,0.064957,15.81
07-Jan-2015 20:15:00,0.064954,15.795
07-Jan-2015 20:30:00,0.065005,15.786
07-Jan-2015 20:45:00,0.065046,15.865
07-Jan-2015 21:00:01,0.065091,16.035
07-Jan-2015 21:15:00,0.065015,16.021
07-Jan-2015 21:30:01,0.06499,16.072
07-Jan-2015 21:45:00,0.065009,16.094
07-Jan-2015 22:00:00,0.06497,16.08
07-Jan-2015 22:15:00,0.064938,16.138
07-Jan-2015 22:30:00,0.064906,16.176
07-Jan-2015 22:45:00,0.064856,16.236
07-Jan-2015 23:00:01,0.064784,16.259
07-Jan-2015 23:15:00,0.064739,16.315
07-Jan-2015 23:30:00,0.064711,16.31
07-Jan-2015 23:45:01,0.06468,16.284
08-Jan-2015 00:00:00,0.064713,16.282
08-Jan-2015 00:15:00,0.064711,16.266
08-Jan-2015 00:30:01,0.064665,16.255
08-Jan-2015 00:45:00,0.064633,16.223
08-Jan-2015 01:00:00,0.064633,16.218
08-Jan-2015 01:15:01,0.064561,16.209
08-Jan-2015 01:30:01,0.064556,16.201
08-Jan-2015 01:45:00,0.064546,16.188
08-Jan-2015 02:00:00,0.064477,16.187
08-Jan-2015 02:15:01,0.064453,16.185
08-Jan-2015 02:30:00,0.064502,16.187
08-Jan-2015 02:45:00,0.064394,16.185
08-Jan-2015 03:00:00,0.064428,16.161
08-Jan-2015 03:15:00,0.064466,16.185
08-Jan-2015 03:30:00,0.064452,16.169
08-Jan-2015 03:45:00,0.064436,16.165
08-Jan-2015 04:00:00,0.064417,16.162
08-Jan-2015 04:15:00,0.064391,16.143
08-Jan-2015 04:30:00,0.064274,16.133
08-Jan-2015 04:45:00,0.064229,16.123
08-Jan-2015 05:00:00,0.064269,16.119
08-Jan-2015 05:15:00,0.064362,16.102
08-Jan-2015 05:30:01,0.064381,16.093
08-Jan-2015 05:45:00,0.064349,16.093
08-Jan-2015 06:00:00,0.064202,16.076
08-Jan-2015 06:15:01,0.064086,16.079
08-Jan-2015 06:30:00,0.064116,16.068
08-Jan-2015 06:45:01,0.06404,16.064
08-Jan-2015 07:00:00,0.063993,16.031
08-Jan-2015 07:15:00,0.063944,16.031
08-Jan-2015 07:30:01,0.064026,16.033
08-Jan-2015 07:45:01,0.064075,15.975
08-Jan-2015 08:00:00,0.064158,15.911
08-Jan-2015 08:15:01,0.064023,15.823
08-Jan-2015 08:30:00,0.06397,15.794
08-Jan-2015 08:45:00,0.064046,15.799
08-Jan-2015 09:00:00,0.064221,15.827
08-Jan-2015 09:15:00,0.064124,15.795
08-Jan-2015 09:30:01,0.064411,15.89
08-Jan-2015 09:45:00,0.064444,15.943
08-Jan-2015 10:00:00,0.064411,15.936
08-Jan-2015 10:15:00,0.064432,15.975
08-Jan-2015 10:30:00,0.064366,15.956
08-Jan-2015 10:45:00,0.064356,15.961
08-Jan-2015 11:00:00,0.064275,15.959
08-Jan-2015 11:15:00,0.064299,15.959
08-Jan-2015 11:30:01,0.06423,15.957
08-Jan-2015 11:45:00,0.064246,15.955
08-Jan-2015 12:00:00,0.064223,15.951
08-Jan-2015 12:15:00,0.064147,15.947
08-Jan-2015 12:30:00,0.064159,15.941
08-Jan-2015 12:45:01,0.06416,15.937
08-Jan-2015 13:00:01,0.064095,15.934
08-Jan-2015 13:15:01,0.064126,15.942
08-Jan-2015 13:30:00,0.064088,15.957
08-Jan-2015 13:45:00,0.064115,15.956
08-Jan-2015 14:00:00,0.064117,15.958
08-Jan-2015 14:15:00,0.064129,15.954
08-Jan-2015 14:30:00,0.064061,15.948
08-Jan-2015 14:45:00,0.064054,15.946
08-Jan-2015 15:00:00,0.064039,15.944
08-Jan-2015 15:15:00,0.064063,15.944
08-Jan-2015 15:30:00,0.064026,15.946
08-Jan-2015 15:45:01,0.064055,15.947
08-Jan-2015 16:00:00,0.06397,15.947
08-Jan-2015 16:15:00,0.063875,15.949
08-Jan-2015 16:30:00,0.063845,15.946
08-Jan-2015 16:45:01,0.064019,15.946
08-Jan-2015 17:00:01,0.064019,15.948
08-Jan-2015 17:15:00,0.064019,15.946
08-Jan-2015 17:30:00,0.064099,15.945
08-Jan-2015 17:45:00,0.064221,15.951
08-Jan-2015 18:00:00,0.06418,15.948
08-Jan-2015 18:15:00,0.064243,15.952
08-Jan-2015 18:30:00,0.06416,15.95
08-Jan-2015 18:45:00,0.06424,15.958
08-Jan-2015 19:00:00,0.064223,15.965
08-Jan-2015 19:15:00,0.064226,15.965
08-Jan-2015 19:30:00,0.06425,15.979
08-Jan-2015 19:45:00,0.064242,15.997
08-Jan-2015 20:00:00,0.064275,16.013
08-Jan-2015 20:15:00,0.06428,16.023
08-Jan-2015 20:30:00,0.064216,16.047
08-Jan-2015 20:45:00,0.064251,16.068
08-Jan-2015 21:00:01,0.064237,16.092
08-Jan-2015 21:15:01,0.064123,16.151
08-Jan-2015 21:30:00,0.064028,16.183
08-Jan-2015 21:45:01,0.063962,16.207
08-Jan-2015 22:00:00,0.063963,16.217
08-Jan-2015 22:15:00,0.06391,16.227
08-Jan-2015 22:30:00,0.063826,16.237
08-Jan-2015 22:45:00,0.063841,16.238
08-Jan-2015 23:00:00,0.063875,16.25
08-Jan-2015 23:15:00,0.063797,16.267
08-Jan-2015 23:30:00,0.063617,16.282
08-Jan-2015 23:45:00,0.063544,16.284
09-Jan-2015 00:00:00,0.063542,16.273
09-Jan-2015 00:15:00,0.063462,16.281
09-Jan-2015 00:30:00,0.06355,16.278
09-Jan-2015 00:45:00,0.063473,16.282
09-Jan-2015 01:00:00,0.063466,16.284
09-Jan-2015 01:15:00,0.063435,16.291
09-Jan-2015 01:30:00,0.063537,16.296
09-Jan-2015 01:45:00,0.063446,16.296
09-Jan-2015 02:00:00,0.063586,16.292
09-Jan-2015 02:15:00,0.063645,16.292
09-Jan-2015 02:30:00,0.063658,16.291
09-Jan-2015 02:45:00,0.063632,16.29
09-Jan-2015 03:00:00,0.063659,16.288
09-Jan-2015 03:15:00,0.063609,16.283
09-Jan-2015 03:30:00,0.063596,16.278
09-Jan-2015 03:45:00,0.063408,16.277
09-Jan-2015 04:00:00,0.063404,16.273
09-Jan-2015 04:15:00,0.063418,16.269
09-Jan-2015 04:30:00,0.063432,16.263
09-Jan-2015 04:45:00,0.063407,16.257
09-Jan-2015 05:00:00,0.063523,16.251
09-Jan-2015 05:15:00,0.063499,16.244
09-Jan-2015 05:30:00,0.063519,16.24
09-Jan-2015 05:45:00,0.063517,16.239
09-Jan-2015 06:00:00,0.063485,16.238
09-Jan-2015 06:15:00,0.063602,16.233
09-Jan-2015 06:30:00,0.063614,16.228
09-Jan-2015 06:45:00,0.063577,16.223
09-Jan-2015 07:00:00,0.063576,16.219
09-Jan-2015 07:15:00,0.063676,16.208
09-Jan-2015 07:30:01,0.063684,16.2
09-Jan-2015 07:45:00,0.062781,15.855
09-Jan-2015 08:00:01,0.062388,15.665
09-Jan-2015 08:15:01,0.062312,15.588
09-Jan-2015 08:30:01,0.062373,15.532
09-Jan-2015 08:45:01,0.062885,15.68
09-Jan-2015 09:00:01,0.0638,15.936
09-Jan-2015 09:15:01,0.063815,15.98
09-Jan-2015 09:30:00,0.063767,16
09-Jan-2015 09:45:00,0.063778,16.027
09-Jan-2015 10:00:01,0.063738,16.037
09-Jan-2015 10:15:00,0.063713,16.043
09-Jan-2015 10:30:01,0.063625,16.054
09-Jan-2015 10:45:00,0.063628,16.087
09-Jan-2015 11:00:01,0.063565,16.106
09-Jan-2015 11:15:00,0.063494,16.118
09-Jan-2015 11:30:01,0.063446,16.126
09-Jan-2015 11:45:00,0.063363,16.125
09-Jan-2015 12:00:01,0.063329,16.121
09-Jan-2015 12:15:00,0.063224,16.126
09-Jan-2015 12:30:01,0.063218,16.122
09-Jan-2015 12:45:01,0.063243,16.132
09-Jan-2015 13:00:00,0.063267,16.134
09-Jan-2015 13:15:01,0.063221,16.135
09-Jan-2015 13:30:00,0.063187,16.137
09-Jan-2015 13:45:00,0.063165,16.14
09-Jan-2015 14:00:01,0.063449,16.164
09-Jan-2015 14:15:00,0.063501,16.176
09-Jan-2015 14:30:00,0.063604,16.178
09-Jan-2015 14:45:00,0.063567,16.17
09-Jan-2015 15:00:00,0.063598,16.169
09-Jan-2015 15:15:00,0.063584,16.173
09-Jan-2015 15:30:00,0.063613,16.175
09-Jan-2015 15:45:01,0.063558,16.172
09-Jan-2015 16:00:00,0.063608,16.171
09-Jan-2015 16:15:00,0.063567,16.17
09-Jan-2015 16:30:00,0.063542,16.169
09-Jan-2015 16:45:00,0.063579,16.169
09-Jan-2015 17:00:00,0.063505,16.164
09-Jan-2015 17:15:00,0.063593,16.171
09-Jan-2015 17:30:00,0.06361,16.176
09-Jan-2015 17:45:00,0.063682,16.178
09-Jan-2015 18:00:00,0.063634,16.183
09-Jan-2015 18:15:00,0.063561,16.185
09-Jan-2015 18:30:00,0.062562,15.852
09-Jan-2015 18:45:00,0.062503,15.742
09-Jan-2015 19:00:00,0.062571,15.684
09-Jan-2015 19:15:00,0.062628,15.662
09-Jan-2015 19:30:00,0.062886,15.735
09-Jan-2015 19:45:00,0.063073,15.806
09-Jan-2015 20:00:00,0.0633,15.921
09-Jan-2015 20:15:00,0.063442,15.983
09-Jan-2015 20:30:00,0.063582,16.046
09-Jan-2015 20:45:00,0.063531,16.068
09-Jan-2015 21:00:00,0.063464,16.081
09-Jan-2015 21:15:00,0.063526,16.099
09-Jan-2015 21:30:00,0.063549,16.116
09-Jan-2015 21:45:00,0.063621,16.16
09-Jan-2015 22:00:00,0.063611,16.174
09-Jan-2015 22:15:00,0.063694,16.203
09-Jan-2015 22:30:00,0.063611,16.223
09-Jan-2015 22:45:00,0.063569,16.262
09-Jan-2015 23:00:00,0.063606,16.271
09-Jan-2015 23:15:00,0.06355,16.301
09-Jan-2015 23:30:00,0.063367,16.345
09-Jan-2015 23:45:00,0.063445,16.334
10-Jan-2015 00:00:00,0.063411,16.361
10-Jan-2015 00:15:00,0.063392,16.351
10-Jan-2015 00:30:00,0.063457,16.366
10-Jan-2015 00:45:00,0.063378,16.385
10-Jan-2015 01:00:00,0.063369,16.384
10-Jan-2015 01:15:00,0.06339,16.361
10-Jan-2015 01:30:00,0.063407,16.362
10-Jan-2015 01:45:00,0.063281,16.356
10-Jan-2015 02:00:00,0.063261,16.354
10-Jan-2015 02:15:00,0.063242,16.344
10-Jan-2015 02:30:00,0.063133,16.306
10-Jan-2015 02:45:00,0.063107,16.3
10-Jan-2015 03:00:00,0.063119,16.294
10-Jan-2015 03:15:00,0.063153,16.285
10-Jan-2015 03:30:00,0.063155,16.244
10-Jan-2015 03:45:00,0.063331,16.25
10-Jan-2015 04:00:00,0.0634,16.245
10-Jan-2015 04:15:00,0.06331,16.234
10-Jan-2015 04:30:00,0.063261,16.237
10-Jan-2015 04:45:00,0.063324,16.235
10-Jan-2015 05:00:00,0.06325,16.231
10-Jan-2015 05:15:00,0.063321,16.218
10-Jan-2015 05:30:00,0.063227,16.208
10-Jan-2015 05:45:00,0.063174,16.19
10-Jan-2015 06:00:00,0.063169,16.185
10-Jan-2015 06:15:00,0.063177,16.198
10-Jan-2015 06:30:00,0.06313,16.198
10-Jan-2015 06:45:00,0.063101,16.179
10-Jan-2015 07:00:00,0.063168,16.181
10-Jan-2015 07:15:00,0.063196,16.181
10-Jan-2015 07:30:00,0.063137,16.177
10-Jan-2015 07:45:00,0.06309,16.157
10-Jan-2015 08:00:00,0.063106,16.158
10-Jan-2015 08:15:00,0.06297,16.137
10-Jan-2015 08:30:00,0.063073,16.13
10-Jan-2015 08:45:00,0.062833,16.087
10-Jan-2015 09:00:00,0.06303,16.092
10-Jan-2015 09:15:01,0.06291,16.078
10-Jan-2015 09:30:00,0.062953,16.084
10-Jan-2015 09:45:00,0.062834,16.048
10-Jan-2015 10:00:00,0.06271,16.026
10-Jan-2015 10:15:00,0.063111,16.063
10-Jan-2015 10:30:00,0.063161,16.079
10-Jan-2015 10:45:00,0.063094,16.069
10-Jan-2015 11:00:00,0.063069,16.045
10-Jan-2015 11:15:00,0.063187,16.068
10-Jan-2015 11:30:00,0.06276,15.984
10-Jan-2015 11:45:01,0.062778,15.988
10-Jan-2015 12:00:00,0.062861,15.989
10-Jan-2015 12:15:00,0.062839,15.989
10-Jan-2015 12:30:00,0.062888,15.996
10-Jan-2015 12:45:01,0.062871,15.993
10-Jan-2015 13:00:00,0.062817,15.993
10-Jan-2015 13:15:00,0.062902,16
10-Jan-2015 13:30:00,0.062898,15.997
10-Jan-2015 13:45:00,0.062944,16.007
10-Jan-2015 14:00:00,0.062951,15.992
10-Jan-2015 14:15:00,0.062938,15.98
10-Jan-2015 14:30:00,0.063158,16.015
10-Jan-2015 14:45:00,0.063066,15.994
10-Jan-2015 15:00:00,0.06305,15.995
10-Jan-2015 15:15:00,0.063114,15.981
10-Jan-2015 15:30:00,0.063088,15.976
10-Jan-2015 15:45:00,0.062857,15.903
10-Jan-2015 16:00:00,0.062795,15.885
10-Jan-2015 16:15:00,0.063123,15.931
10-Jan-2015 16:30:00,0.063081,15.956
10-Jan-2015 16:45:00,0.063276,15.961
10-Jan-2015 17:00:00,0.063197,16.001
10-Jan-2015 17:15:00,0.063021,16.007
10-Jan-2015 17:30:00,0.063037,16.013
10-Jan-2015 17:45:00,0.063103,16.014
10-Jan-2015 18:00:00,0.063213,16.005
10-Jan-2015 18:15:00,0.063154,15.972
10-Jan-2015 18:30:00,0.063214,16.012
10-Jan-2015 18:45:00,0.063169,16.036
10-Jan-2015 19:00:00,0.063227,16.013
10-Jan-2015 19:15:00,0.06328,16.039
10-Jan-2015 19:30:00,0.063353,16.075
10-Jan-2015 19:45:00,0.063279,16.082
10-Jan-2015 20:00:00,0.063325,16.081
10-Jan-2015 20:15:00,0.063357,16.082
10-Jan-2015 20:30:00,0.0632,16.213
10-Jan-2015 20:45:00,0.063136,16.24
10-Jan-2015 21:00:00,0.063224,16.2
10-Jan-2015 21:15:00,0.063109,16.258
10-Jan-2015 21:30:00,0.063064,16.273
10-Jan-2015 21:45:00,0.063257,16.259
10-Jan-2015 22:00:00,0.063102,16.272
10-Jan-2015 22:15:00,0.063063,16.267
10-Jan-2015 22:30:00,0.063026,16.261
10-Jan-2015 22:45:00,0.063003,16.203
10-Jan-2015 23:00:00,0.062999,16.25
10-Jan-2015 23:15:00,0.063007,16.226
10-Jan-2015 23:30:00,0.063077,16.215
10-Jan-2015 23:45:00,0.063003,16.22
11-Jan-2015 00:00:00,0.063123,16.179
11-Jan-2015 00:15:00,0.063149,16.291
11-Jan-2015 00:30:00,0.063147,16.363
11-Jan-2015 00:45:00,0.06301,16.376
11-Jan-2015 01:00:00,0.063147,16.531
11-Jan-2015 01:15:00,0.062902,16.336
11-Jan-2015 01:30:00,0.062856,16.332
11-Jan-2015 01:45:00,0.062873,16.356
11-Jan-2015 02:00:00,0.062937,16.377
11-Jan-2015 02:15:00,0.063162,16.473
11-Jan-2015 02:30:00,0.063089,16.473
11-Jan-2015 02:45:00,0.062836,16.321
11-Jan-2015 03:00:00,0.062961,16.396
11-Jan-2015 03:15:00,0.062796,16.303
11-Jan-2015 03:30:00,0.062895,16.351
11-Jan-2015 03:45:00,0.062821,16.337
11-Jan-2015 04:00:00,0.062731,16.324
11-Jan-2015 04:15:00,0.062732,16.302
11-Jan-2015 04:30:00,0.062649,16.277
11-Jan-2015 04:45:00,0.062816,16.282
11-Jan-2015 05:00:00,0.062703,16.252
11-Jan-2015 05:15:00,0.062771,16.221
11-Jan-2015 05:30:00,0.062781,16.238
11-Jan-2015 05:45:00,0.062791,16.199
11-Jan-2015 06:00:00,0.062819,16.148
11-Jan-2015 06:15:00,0.062754,16.133
11-Jan-2015 06:30:00,0.062967,16.093
11-Jan-2015 06:45:00,0.062882,16.089
